[2025-02-03 17:49:03,702 web_scraper.py->download_image():434]INFO: Downloaded: 41_1721048271030.png
[2025-02-03 17:49:03,703 web_scraper.py->_extract_hashtags():257]INFO: Hastags Extracted
[2025-02-03 17:49:03,703 web_scraper.py->_clean_text():287]INFO: Text Cleaned
[2025-02-03 17:49:03,704 web_scraper.py->_extract_emojis():343]INFO: Emoji Extracted
[2025-02-03 17:49:03,704 web_scraper.py->_split_at_first_delimiter():318]INFO: Text Splitted into Heading and Content
[2025-02-03 17:49:03,705 web_scraper.py->is_valid_image():394]INFO: Image is Valid
[2025-02-03 17:49:03,705 web_scraper.py->is_valid_image():394]INFO: Image is Valid
[2025-02-03 17:49:03,705 web_scraper.py->is_valid_image():394]INFO: Image is Valid
[2025-02-03 17:49:03,705 web_scraper.py->is_valid_image():394]INFO: Image is Valid
[2025-02-03 17:49:03,705 web_scraper.py->is_valid_image():394]INFO: Image is Valid
[2025-02-03 17:49:03,752 web_scraper.py->download_image():434]INFO: Downloaded: 43_1718957337003.png
[2025-02-03 17:49:03,785 web_scraper.py->download_image():434]INFO: Downloaded: 43_1718957338242.png
[2025-02-03 17:49:03,825 web_scraper.py->download_image():434]INFO: Downloaded: 43_1718957337989.png
[2025-02-03 17:49:03,869 web_scraper.py->download_image():434]INFO: Downloaded: 43_1718957336688.png
[2025-02-03 17:49:03,870 web_scraper.py->_extract_hashtags():257]INFO: Hastags Extracted
[2025-02-03 17:49:03,871 web_scraper.py->_clean_text():287]INFO: Text Cleaned
[2025-02-03 17:49:03,871 web_scraper.py->_extract_emojis():343]INFO: Emoji Extracted
[2025-02-03 17:49:03,872 web_scraper.py->_split_at_first_delimiter():318]INFO: Text Splitted into Heading and Content
[2025-02-03 17:49:03,872 web_scraper.py->is_valid_image():394]INFO: Image is Valid
[2025-02-03 17:49:03,873 web_scraper.py->_extract_hashtags():257]INFO: Hastags Extracted
[2025-02-03 17:49:03,873 web_scraper.py->_clean_text():287]INFO: Text Cleaned
[2025-02-03 17:49:03,874 web_scraper.py->_extract_emojis():343]INFO: Emoji Extracted
[2025-02-03 17:49:03,874 web_scraper.py->_split_at_first_delimiter():318]INFO: Text Splitted into Heading and Content
[2025-02-03 17:49:03,875 web_scraper.py->is_valid_image():394]INFO: Image is Valid
[2025-02-03 17:49:03,875 web_scraper.py->is_valid_image():394]INFO: Image is Valid
[2025-02-03 17:49:03,875 web_scraper.py->is_valid_image():394]INFO: Image is Valid
[2025-02-03 17:49:03,875 web_scraper.py->is_valid_image():394]INFO: Image is Valid
[2025-02-03 17:49:03,875 web_scraper.py->is_valid_image():394]INFO: Image is Valid
[2025-02-03 17:49:03,923 web_scraper.py->download_image():434]INFO: Downloaded: 47_1718347551246.png
[2025-02-03 17:49:03,953 web_scraper.py->download_image():434]INFO: Downloaded: 47_1718347552270.png
[2025-02-03 17:49:03,989 web_scraper.py->download_image():434]INFO: Downloaded: 47_1718347551239.png
[2025-02-03 17:49:04,023 web_scraper.py->download_image():434]INFO: Downloaded: 47_1718347551827.png
[2025-02-03 17:49:04,024 web_scraper.py->_extract_hashtags():257]INFO: Hastags Extracted
[2025-02-03 17:49:04,025 web_scraper.py->_clean_text():287]INFO: Text Cleaned
[2025-02-03 17:49:04,026 web_scraper.py->_extract_emojis():343]INFO: Emoji Extracted
[2025-02-03 17:49:04,026 web_scraper.py->_split_at_first_delimiter():318]INFO: Text Splitted into Heading and Content
[2025-02-03 17:49:04,027 web_scraper.py->is_valid_image():394]INFO: Image is Valid
[2025-02-03 17:49:04,027 web_scraper.py->is_valid_image():394]INFO: Image is Valid
[2025-02-03 17:49:04,028 web_scraper.py->is_valid_image():394]INFO: Image is Valid
[2025-02-03 17:49:04,028 web_scraper.py->is_valid_image():394]INFO: Image is Valid
[2025-02-03 17:49:04,028 web_scraper.py->is_valid_image():394]INFO: Image is Valid
[2025-02-03 17:49:04,065 web_scraper.py->download_image():434]INFO: Downloaded: 49_1718181796385.png
[2025-02-03 17:49:04,110 web_scraper.py->download_image():434]INFO: Downloaded: 49_1718181799844.png
[2025-02-03 17:49:04,150 web_scraper.py->download_image():434]INFO: Downloaded: 49_1718181796749.png
[2025-02-03 17:49:04,180 web_scraper.py->download_image():434]INFO: Downloaded: 49_1718181811432.png
[2025-02-03 17:49:04,181 web_scraper.py->_extract_hashtags():257]INFO: Hastags Extracted
[2025-02-03 17:49:04,181 web_scraper.py->_clean_text():287]INFO: Text Cleaned
[2025-02-03 17:49:04,182 web_scraper.py->_extract_emojis():343]INFO: Emoji Extracted
[2025-02-03 17:49:04,182 web_scraper.py->_split_at_first_delimiter():318]INFO: Text Splitted into Heading and Content
[2025-02-03 17:49:04,183 web_scraper.py->is_valid_image():394]INFO: Image is Valid
[2025-02-03 17:49:04,183 web_scraper.py->is_valid_image():394]INFO: Image is Valid
[2025-02-03 17:49:04,183 web_scraper.py->is_valid_image():394]INFO: Image is Valid
[2025-02-03 17:49:04,183 web_scraper.py->is_valid_image():394]INFO: Image is Valid
[2025-02-03 17:49:04,184 web_scraper.py->is_valid_image():394]INFO: Image is Valid
[2025-02-03 17:49:04,219 web_scraper.py->download_image():434]INFO: Downloaded: 51_1719200085686.png
